file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
test_200001.json,1,0.96809703,407.27075,187.55232,519.8121,187.55232,519.8121,311.41852,407.27075,311.41852
test_200001.json,1,0.9650105,112.632454,330.69534,266.16415,330.69534,266.16415,485.11972,112.632454,485.11972
test_200002.json,2,0.8773282,220.96194,347.44742,311.91803,347.44742,311.91803,459.65054,220.96194,459.65054
test_200003.json,2,0.9630449,224.11748,133.57188,315.6279,133.57188,315.6279,261.86154,224.11748,261.86154
test_200003.json,2,0.95124876,137.37814,3.0792298,292.37222,3.0792298,292.37222,193.9565,137.37814,193.9565
test_200004.json,4,0.8211704,196.74222,192.33676,236.66887,192.33676,236.66887,226.91875,196.74222,226.91875
test_200005.json,1,0.9031964,468.1376,299.74844,545.6406,299.74844,545.6406,421.49127,468.1376,421.49127
test_200006.json,1,0.93951243,249.64113,418.1444,374.28302,418.1444,374.28302,534.341,249.64113,534.341
test_200007.json,4,0.8317665,204.44887,32.330437,287.42856,32.330437,287.42856,85.86032,204.44887,85.86032
test_200008.json,1,0.8354921,423.53207,145.37416,526.50604,145.37416,526.50604,242.07072,423.53207,242.07072
test_200009.json,2,0.97441065,92.27441,213.47197,196.34204,213.47197,196.34204,322.9127,92.27441,322.9127
test_200011.json,1,0.9235527,285.19046,312.09192,395.65756,312.09192,395.65756,418.28915,285.19046,418.28915
test_200011.json,1,0.89243513,71.01877,61.049194,165.2823,61.049194,165.2823,149.68483,71.01877,149.68483
test_200012.json,1,0.9479781,163.98357,53.655876,275.3692,53.655876,275.3692,159.26837,163.98357,159.26837
test_200013.json,3,0.9650873,159.09271,14.439618,188.27013,14.439618,188.27013,100.68625,159.09271,100.68625
test_200013.json,3,0.906011,127.81223,19.764997,185.80301,19.764997,185.80301,128.58098,127.81223,128.58098
test_200015.json,1,0.9497512,332.93478,324.65332,448.65176,324.65332,448.65176,444.21198,332.93478,444.21198
test_200017.json,1,0.9833119,43.44124,382.69504,245.3534,382.69504,245.3534,533.8758,43.44124,533.8758
test_200018.json,3,0.9865904,276.9424,218.23384,328.87573,218.23384,328.87573,271.73593,276.9424,271.73593
test_200020.json,4,0.81215864,263.81314,79.12699,382.4817,79.12699,382.4817,168.63142,263.81314,168.63142
test_200021.json,2,0.96736777,99.069954,206.04788,191.91617,206.04788,191.91617,304.8809,99.069954,304.8809
test_200022.json,3,0.8941642,462.43082,100.63271,543.26544,100.63271,543.26544,219.74454,462.43082,219.74454
test_200023.json,4,0.92453325,179.574,358.1092,281.41125,358.1092,281.41125,436.08295,179.574,436.08295
test_200025.json,3,0.9768941,375.67627,371.02103,467.0835,371.02103,467.0835,514.8628,375.67627,514.8628
test_200030.json,1,0.92815673,309.25015,363.7747,516.1366,363.7747,516.1366,530.7136,309.25015,530.7136
test_200030.json,1,0.92028815,186.02058,264.15128,331.69177,264.15128,331.69177,349.39984,186.02058,349.39984
test_200031.json,1,0.91612023,350.11307,453.3463,488.3674,453.3463,488.3674,544.1611,350.11307,544.1611
test_200031.json,1,0.8671121,335.878,413.07892,525.9824,413.07892,525.9824,542.67377,335.878,542.67377
test_200033.json,4,0.951879,307.32648,125.68239,384.416,125.68239,384.416,238.27856,307.32648,238.27856
test_200033.json,4,0.8411256,124.04375,357.12003,152.62218,357.12003,152.62218,379.69666,124.04375,379.69666
test_200035.json,1,0.957395,124.808365,370.61194,269.33008,370.61194,269.33008,470.9453,124.808365,470.9453
test_200035.json,3,0.8847856,220.41438,114.87419,321.53052,114.87419,321.53052,196.88951,220.41438,196.88951
test_200036.json,1,0.8374967,361.21204,162.00633,466.80753,162.00633,466.80753,254.30719,361.21204,254.30719
test_200037.json,1,0.8128783,249.91882,290.11987,315.91367,290.11987,315.91367,364.22977,249.91882,364.22977
test_200040.json,4,0.91974473,120.82693,44.01005,259.72736,44.01005,259.72736,164.37622,120.82693,164.37622
test_200040.json,4,0.8977295,118.1965,57.17569,176.3443,57.17569,176.3443,131.34778,118.1965,131.34778
test_200041.json,4,0.9262998,356.16904,331.06525,456.9787,331.06525,456.9787,442.5153,356.16904,442.5153
test_200043.json,1,0.96584606,430.02023,177.87555,519.95135,177.87555,519.95135,262.241,430.02023,262.241
test_200044.json,1,0.9519168,116.97434,297.30966,224.98503,297.30966,224.98503,399.70926,116.97434,399.70926
test_200044.json,1,0.82122725,103.428055,261.2799,247.44429,261.2799,247.44429,415.39954,103.428055,415.39954
test_200045.json,4,0.95883393,264.5362,195.78693,305.4274,195.78693,305.4274,241.06764,264.5362,241.06764
test_200046.json,1,0.83842665,166.43605,157.27582,363.60904,157.27582,363.60904,385.37476,166.43605,385.37476
test_200046.json,1,0.80006635,156.20636,30.353611,376.02353,30.353611,376.02353,127.65303,156.20636,127.65303
test_200047.json,4,0.8759222,281.2592,475.32736,416.2779,475.32736,416.2779,539.72034,281.2592,539.72034
test_200048.json,3,0.89920926,70.81073,239.28711,141.98189,239.28711,141.98189,408.81332,70.81073,408.81332
test_200049.json,1,0.8699632,489.44296,369.28793,545.52,369.28793,545.52,437.77295,489.44296,437.77295
test_200050.json,1,0.9432665,261.41425,108.19774,518.16833,108.19774,518.16833,250.89145,261.41425,250.89145
test_200051.json,1,0.8019352,338.2711,251.9255,469.21494,251.9255,469.21494,384.17358,338.2711,384.17358
test_200052.json,1,0.9296514,152.61002,350.13385,319.19778,350.13385,319.19778,523.4274,152.61002,523.4274
